-47, 15, 37.521
-46.921, 13.006, 30.014
-46.182, 11.177, 20
-44.411, 10.391, 20
-42.448, 10.709, 73.591
-40.596, 11.459, 86.911
-38.835, 12.407, 91.233
-37.135, 13.459, 93.886
-35.479, 14.581, 95.62
-33.856, 15.75, 96.828
-32.258, 16.953, 97.734
-30.678, 18.178, 98.478
-29.109, 19.419, 99.162
-27.548, 20.669, 99.888
-25.987, 21.919, 98.642
-24.418, 23.16, 97.014
-22.845, 24.395, 94.51
-21.241, 25.589, 94.894
-19.598, 26.73, 95.347
-17.922, 27.82, 95.842
-16.216, 28.864, 96.353
-14.485, 29.867, 96.859
-12.734, 30.832, 97.104
-10.964, 31.764, 97.572
-9.18, 32.668, 98
-7.385, 33.549, 97.62
-5.579, 34.409, 94.983
-3.765, 35.251, 92.27
-1.945, 36.08, 89.475
-0.119, 36.896, 86.589
1.711, 37.703, 83.604
3.545, 38.502, 80.509
5.381, 39.294, 77.29
7.219, 40.082, 73.93
9.059, 40.866, 70.411
10.9, 41.647, 66.706
12.742, 42.427, 62.783
14.584, 43.205, 58.598
16.427, 43.983, 54.09
18.269, 44.762, 49.17
20.111, 45.541, 43.7
21.953, 46.321, 37.439
23.737, 47.186, 29.967
24.816, 48.823, 20
23.301, 49.822, 68.284
21.306, 49.917, 87.541
19.308, 49.827, 96.088
17.315, 49.662, 97.299
15.325, 49.46, 98.81
13.338, 49.238, 99.301
11.351, 49.005, 99.999
9.365, 48.769, 99.738
7.379, 48.535, 99.513
5.392, 48.306, 99.313
3.404, 48.084, 98.958
1.415, 47.875, 98.792
-0.575, 47.679, 98.627
-2.567, 47.499, 98.459
-4.56, 47.337, 98.286
-6.555, 47.195, 98.103
-8.552, 47.076, 97.907
-10.549, 46.982, 97.696
-12.548, 46.916, 97.464
-14.548, 46.881, 97.208
-16.548, 46.881, 96.924
-18.548, 46.918, 96.606
-20.546, 46.997, 96.248
-22.542, 47.123, 95.844
-24.531, 47.327, 96.764
-26.52, 47.533, 95.028
-28.514, 47.695, 92.316
-30.51, 47.809, 89.523
-32.509, 47.869, 86.639
-34.509, 47.88, 83.656
-36.509, 47.845, 80.563
-38.508, 47.772, 77.346
-40.505, 47.675, 73.989
-42.502, 47.563, 70.473
-44.499, 47.449, 66.771
-46.496, 47.339, 62.852
-48.493, 47.239, 58.672
-50.491, 47.153, 54.17
-52.49, 47.081, 49.258
-54.489, 47.026, 43.799
-56.489, 46.986, 37.555
-58.489, 46.961, 30.04
-60.434, 47.32, 20
-60.463, 48.957, 46.074
-58.981, 50.295, 62.894
-57.368, 51.477, 58.718
-55.723, 52.616, 54.22
-54.076, 53.749, 49.313
-52.443, 54.904, 43.861
-50.84, 56.1, 37.627
-49.286, 57.359, 30.131
-47.81, 58.708, 20
-47.423, 59.096, 0
-47.423, 59.096, 0
-33.309, 73.267, 0
endData
127
100
200
